Designator,Qty,Value,Footprint,Function,LCSC Part #,Purchase Link
R11,1,75k,0603,U4 (TPS55340) FREQ pin: switching frequency set,C23242,https://www.lcsc.com/search?q=C23242
R12,1,86.6K,0603,"U4 feedback divider, top leg from +12V",C23121,https://www.lcsc.com/search?q=C23121
"R13, R16, R7",3,10k,0603,"R13 = U4 FB bottom leg (12V), R16 = RST pullup, R7 = U3 EN pullup",C25804,https://www.lcsc.com/search?q=C25804
R17,1,10k,0402,Gate pulldown on CTRL_P (holds solenoid off during boot/reset),C60489,https://www.lcsc.com/search?q=C60489
R18,1,220,0402,Gate series resistor for Q1,C25091,https://www.lcsc.com/search?q=C25091
"R2, R3",2,5.1k,0402,USB-C CC1/CC2 5.1k pulldowns (advertise 5V sink),C25905,https://www.lcsc.com/search?q=C25905
R20,1,1k,0402,Series resistor for status LED D5,C11702,https://www.lcsc.com/search?q=C11702
"R4, R5",2,1k,0603,Series resistors for charge-status LEDs D1/D2,C21190,https://www.lcsc.com/search?q=C21190
R8,1,2k,0603,U4 COMP network resistor (loop compensation),C22975,https://www.lcsc.com/search?q=C22975
R9,1,1M,0603,"U3 feedback divider, top leg from 3.3V out",C22935,https://www.lcsc.com/search?q=C22935
"SW2, SW3",2,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,"Tactile switches: SW2 = RESET (EN), SW3 = BOOT (IO0)",C720477,https://www.lcsc.com/search?q=C720477
TP1,1,VCC_SOL,TestPoint_Loop_D3.80mm_Drill2.8mm,Test point / solenoid output: +12V,,
TP2,1,GND_SOL,TestPoint_Loop_D3.80mm_Drill2.8mm,Test point / solenoid output: switched low side (Q1 drain),,
U1,1,BQ24040DSQR,WSON-10_L2.0-W2.0-P0.40-BL-EP,Li-ion linear charge management IC (USB 5V -> battery),C81080,https://www.lcsc.com/search?q=C81080
U2,1,USBLC6-2SC6,SOT-23-6,USB D+/D- ESD protection array,C2827654,https://www.lcsc.com/search?q=C2827654
U3,1,TPS63020DSJR,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,Buck-boost converter: battery (2.5-5.5V) -> 3.3V system rail,C15483,https://www.lcsc.com/search?q=C15483
U4,1,TPS55340RTER,VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,Boost converter: 3.3V -> 12V solenoid rail,C169167,https://www.lcsc.com/search?q=C169167
U5,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,"Main MCU/radio: ESP32-S3, WiFi + BLE, hosts the control page",C2913202,https://www.lcsc.com/search?q=C2913202
U6,1,SIM68M,GPSM-SMD_18P-L10.1-W9.7-P1.10,"GNSS receiver module, NMEA out over UART at 9600 baud",C2999762,https://www.lcsc.com/search?q=C2999762
U7,1,LIS2DH12TR,LGA-12_L2.0-W2.0-P0.50-BL,3-axis accelerometer (SPI) - tamper / motion detection,C110926,https://www.lcsc.com/search?q=C110926
U8,1,GPS1003,ANT-SMD_L10.0-W3.0,"SMD GPS patch antenna, 1575.42 MHz",C239243,https://www.lcsc.com/search?q=C239243
